אייקון,יום,תאריך,שם המקום,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש
🛬,01 (שלישי),13/10/2026,Haneda Airport Terminal 3,⭐⭐⭐⭐⭐ חובה,"2 Chome-6-5 Hanedakuko, Ota City, Tokyo 144-0041, Japan",הכל (מקורה),"נחיתה ביפן (22:20). [רמת עומס: 🟢 קל]

• איסוף מזוודות, ביקורת דרכונים ומכס. הצג קודי QR שהכנת מראש ב-Visit Japan Web כדי לזרז עניינים.

💡 Plan B עייפות/עיכוב:
אם הטיסה מתעכבת משמעותית, דלג על חנות הנוחות וסע ישירות למרחצאות.","הליכה רגלית בתוך הטרמינל לאחר הנחיתה. עקוב אחר השילוט לקומת הקרקע.
[הנחיית רכבת: רכישת כרטיס Welcome Suica פיזי במכונות בשדה]",טוקיו - הגעה,22:20 (נחיתה),שעה וחצי,,כבר שולם,**🚨 חובה להזמין מראש: למלא הצהרת Visit Japan Web שבוע לפני הטיסה להפקת QR.**,https://vjw-lp.digital.go.jp/en/,הגעה ליפן (0 דקות),https://www.google.com/maps/search/?api=1&query=Haneda+Airport+Terminal+3,,⚠️ לוקרים | ⚠️ שירותים | ⚠️ דורש אינטרנט,✓ דרכון בהישג יד | ✓ Visit Japan Web QR Code | ✓ כרטיס אשראי
🏪,01 (שלישי),13/10/2026,7-Eleven Haneda Airport,⭐⭐⭐ אם יש זמן,"2 Chome-6-5 Hanedakuko, Ota City, Tokyo 144-0041, Japan",הכל (מקורה),"חנות נוחות: משיכת כסף והצטיידות ראשונית.

• השתמש בכספומט 7-Bank למשיכת ינים ראשונית בעמלה אפסית.

[מיקום Coin Locker: זמין בטרמינל 3 קומה 2/3].","אולם מקבלי הפנים בקומה 2.
[הנחיית תחבורה: תשלום במזומן או באשראי בחנות].",טוקיו - הגעה,23:50 - 00:30,40 דקות,,לפי צריכה,"**🚶‍♂️ אין צורך בהזמנה מראש: פתוח 24/7, תשלום במקום.**",https://www.sevenbank.co.jp/english/,≈ 5 דקות הליכה פנימית,https://www.google.com/maps/dir/?api=1&origin=Haneda+Airport+Terminal+3&destination=7-Eleven+Haneda+Airport,,⚠️ לוקרים | ⚠️ שירותים,✓ דרכון (למשיכת כספים) | ✓ רשימת קניות קטנה
♨️,02 (רביעי),14/10/2026,Natural hot spring Heiwajima,⭐⭐⭐⭐⭐ חובה,"1 Chome-1-1 Heiwajima, Ota City, Tokyo 143-0006, Japan",הכל (מקורה),"מרחצאות הייוואג'ימה: מקלחת, טבילה ושינה עד הבוקר אחרי טיסה ארוכה וגט-לג ראשוני.
[רמת עומס: 🟢 קל]","שאטל לילה חינמי שיוצא ישירות מטרמינל 3 (רציף אוטובוסים ייעודי) בסמוך לנחיתה.
[הנחיית נסיעה: אוטובוס לילה חינמי כלול בהזמנה]",טוקיו - הגעה,01:00 - 08:30,לילה שלם,,"100 ₪ (~5,400 ¥)",**🚨 חובה להזמין מראש: מסלול 'Welcome Course' (כולל שאטל הלילה) בדיוק חודש מראש באתר!**,https://www.heiwajima-onsen.jp/en/,≈ 20 דקות (5 דקות לשאטל + 15 נסיעה),https://www.google.com/maps/dir/?api=1&origin=Haneda+Airport+Terminal+3&destination=Natural+hot+spring+Heiwajima,,⚠️ שירותים,✓ מזומן לחטיפים | ✓ בגדים להחלפה לבוקר | ✓ כיסוי לקעקועים (אם יש)
🏰,02 (רביעי),14/10/2026,Imperial Palace Tokyo,⭐⭐⭐ אם יש זמן,"1-1 Chiyoda, Chiyoda City, Tokyo",☀️ שמש / ☁️ מעונן,"ארמון הקיסר (נקי לחלוטין מסמלים דתיים - חילוני):

• הליכת בוקר רגועה להתאוששות מול חומות הארמון והגשרים העתיקים.

💡 Plan B גשם:
אם יורד גשם כבד, דלג על ההליכה הציבורית וסע ישירות למתחם המקורה של Nissan Crossing בגינזה.","מ-Heiwajima קח קו Keikyu ל-Shinagawa ומשם החלף לקו 🟢 JR Yamanote לתחנת Tokyo.
[יציאה מומלצת: Marunouchi Central Exit]
[הנחיית רכבת: ✅ כרטיס IC פיזי].",טוקיו - מרכז,09:30 - 11:00,שעה וחצי,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש: סיור ציבורי חופשי.**,https://sankan.kunaicho.go.jp/english/,≈ 45 דקות ברכבת והליכה,https://www.google.com/maps/dir/?api=1&origin=Natural+hot+spring+Heiwajima&destination=Imperial+Palace+Tokyo,,⚠️ שירותים,✓ נעלי הליכה נוחות | ✓ כרטיס IC טעון | ✓ משקפי שמש
🚗,02 (רביעי),14/10/2026,Nissan Crossing & Sony Store,⭐⭐⭐ אם יש זמן,"5 Chome-8-1 Ginza, Chuo City, Tokyo",הכל (מקורה),"טכנולוגיה בגינזה:

• תצוגת הרכבים העתידנית של ניסאן וטכנולוגיות צילום מתקדמות של סוני. מושלם להעברת זמן קצרה וממוזגת.

💡 Plan B עייפות:
אם הגוף מותש מהגט-לג, פשוט שב בבית הקפה הממוחשב בקומה השנייה של מתחם ניסאן.","הליכה קצרה מתחנת טוקיו לגינזה (מרחק תחנה אחת או הליכה רגליית של 12 דקות).
[יציאה מומלצת: תחנת Ginza יציאה A4]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - גינזה,11:30 - 12:30,שעה,,חינם,**🚶‍♂️ אין צורך בהזמנה מראש: כניסה חופשית.**,https://www3.nissan.co.jp/crossing/en.html,≈ 15 דקות הליכה,https://www.google.com/maps/dir/?api=1&origin=Imperial+Palace+Tokyo&destination=Nissan+Crossing+Tokyo,,⚠️ שירותים,✓ מצלמה / טלפון טעון | ✓ כרטיס אשראי לקפה
🚤,02 (רביעי),14/10/2026,Tokyo Water Bus (Suijobus),⭐⭐⭐⭐ מומלץ,"Hinode Pier, Minato City, Tokyo",☀️ שמש / ☁️ מעונן,"שייט עתידני במפרץ טוקיו!

• ירידה קצרה למזח Hinode ושייט כיפי וישיר (מסלול Urban Launch) אל טויסו (Toyosu).
• חוסך את הסיבוב באסאקוסה ומחבר אותך ישירות ליעד הבא.

💡 Plan B גשם/ערפל:
אם השייט מבוטל בגלל מזג אוויר, קח רכבת תחתית ישירה מגינזה לטויסו דרך קו Yurakucho.","רכבת מתחנת גינזה עד ל-Hamamatsucho והליכה קצרה למזח Hinode.
[הנחיית שיט: ❌ כרטיס IC לא תופס, דורש כרטיס שיט מודפס מהאתר]",טוקיו - מים,13:00 - 13:45,45 דקות,,"כ-25 ₪ (~1,350 ¥)",**🚨 מומלץ להזמין מראש: באתר יומיים-שלושה מראש למסלול Urban Launch.**,https://www.suijobus.co.jp/en/,≈ 25 דקות (רכבת והליכה קצרה),https://www.google.com/maps/dir/?api=1&origin=Ginza+Station&destination=Hinode+Pier,,⚠️ שירותים,✓ כרטיס שייט מודפס או בטלפון | ✓ משקפי שמש
🔮,02 (רביעי),14/10/2026,teamLab Planets TOKYO DMM,⭐⭐⭐⭐⭐ חובה,"6 Chome-1-16 Toyosu, Koto City, Tokyo",הכל (מקורה),"מוזיאון האמנות הדיגיטלית teamLab Planets:

• חוויה חושית מדהימה הכוללת הליכה יחפה במים עד הברכיים ואינטראקציה עם מיצגי אור מטורפים. הסירה הורידה אותך בדיוק באזור זה!

[רמת עומס יומית משולבת: 🔴 גבוה].","הליכה קצרה מתחנת העגינה בטויסו (או נסיעה של תחנה אחת בקו הרכבת העילית Yurikamome) אל המוזיאון.
[יציאה מומלצת: תחנת Shin-Toyosu יציאה יחידה]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - טויסו,14:25 - 16:45,שעתיים וחצי,,"96 ₪ (~5,200 ¥)",**🚨 חובה להזמין מראש: ב-Klook לפחות 6 שבועות מראש! (בחר Planets).**,https://www.klook.com/,≈ 40 דקות שייט בסירה,https://www.google.com/maps/dir/?api=1&origin=Hinode+Pier&destination=teamLab+Planets+TOKYO+DMM,,⚠️ שירותים,✓ מכנסיים שאפשר לקפל מעל הברך | ✓ נעליים שקל לחלוץ
🎢,02 (רביעי),14/10/2026,Tokyo Joypolis,⭐⭐⭐⭐⭐ חובה,"1 Chome-6-1 Daiba, Minato City, Tokyo",הכל (מקורה),"פארק שעשועים מקורה ענק של SEGA:

• משחקי מציאות מדומה חופשית, סימולטורים ומתחמי סוניק.

💡 Plan B עייפות:
אם הגוף מותש לחלוטין, בצע חיתוך מוקדם לדירה באומורי ודלג על החלק השני של הערקייד בפארק.","קח את הרכבת העילית הנופית Yurikamome מתחנת Shin-Toyosu אל תחנת Odaiba-Kaihinkoen.
[יציאה מומלצת: North Exit]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - אודאיבה,17:15 - 20:30,3 שעות,,"120 ₪ (~6,500 ¥)",**🚨 מומלץ להזמין מראש: ב-Klook כשבוע לפני לחסכון כספי.**,https://www.klook.com/,≈ 20 דקות נסיעה ב-Yurikamome,https://www.google.com/maps/dir/?api=1&origin=teamLab+Planets+TOKYO+DMM&destination=Tokyo+Joypolis,,⚠️ שירותים,✓ בגדים נוחים לסימולטורים | ✓ נעליים סגורות | ✓ כרטיס IC
🏠,02 (רביעי),14/10/2026,🏠 Casa Central (Tokyo Apartment),⭐⭐⭐⭐⭐ חובה,"4 Chome-26-7 Chuo, Ota City, Tokyo",הכל (מקורה),"הגעה לדירה: בסיס הלינה הקבוע שלך בטוקיו.

• התארגנות בחדר, פריקת ציוד ומנוחה.

[מיקום כספומט ATM קרוב: 7-Eleven Ota Chuo 4-Chome].
[מיקום Coin Locker: תחנת Omori].","רכבת קו Rinkai מתחנת Tokyo Teleport אל Oimachi, והחלפה לקו Keihin-Tohoku לתחנת Omori.
[יציאה מומלצת: Omori Station יציאה צפונית North Exit]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - אומורי,22:00 - 07:30,לינה,,שולם,**✅ כבר הוזמן. צ'ק-אין: 16:00.**,https://www.booking.com/,≈ 45 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Joypolis&destination=4-26-7+Chuo+Ota+City+Tokyo,,⚠️ שירותים,✓ קודי צ'ק-אין לדירה | ✓ ציוד לינה
🏎️,03 (חמישי),15/10/2026,STREET KART Tokyo Bay,⭐⭐⭐⭐⭐ חובה,"1 Chome-24-6 Kitashinagawa, Shinagawa City",☀️ שמש בלבד,"קרטינג כביש אקסטרימי (Tokyo Bay):

• נהיגה מטורפת על כבישי טוקיו הפתוחים וחציית גשר ה-Rainbow Bridge! קרוב מאוד לדירה שלך.

[רמת עומס יומית: 🟡 בינוני].","מתחנת Omori קח קו JR Keihin-Tohoku ל-Shinagawa והחלף לקו Keikyu לתחנת Kitashinagawa.
[יציאה מומלצת: יציאה יחידה]
[הנחיית רכבת: ✅ כרטיס IC]",טוקיו - מפרץ,09:30 - 12:00,שעתיים וחצי,,"323 ₪ (~17,400 ¥)",**🚨 חובה להזמין מראש: חודשיים מראש ב-Klook! (חובה פיזית: רישיון ישראלי + ממס'י).**,https://www.klook.com/,≈ 25 דקות רכבת,https://www.google.com/maps/dir/?api=1&origin=Omori+Station+Tokyo&destination=STREET+KART+Tokyo+Bay,,⚠️ שירותים,✓ רישיון נהיגה ישראלי | ✓ רישיון בינלאומי ממס'י | ✓ דרכון פיזי | ✓ משקפי שמש
