אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש

🛬,00 (שני),12/10/2026,טיסה הלוך לטוקיו (Emirates),תחבורה | טיסה בינלאומית,⭐⭐⭐⭐⭐ חובה,"Ben Gurion Airport, Tel Aviv",הכל (מקורה),"טיסת הלוך מישראל לטוקיו עם אמירייטס. המראה מתל אביב ב-23:50 (12/10), קונקשן בדובאי, ונחיתה בהאנדה טוקיו ב-22:20 (13/10). מס' כרטיס: 176 2211631766-67. PNR: M6HGVB.

🍽️ פתרון תזונה יומי: ארוחה כשרה במטוס.

🥤 שילוב חלבון: שייק חלבון לפני השינה במטוס.

[רמת עומס: 🟡 בינוני]

💡 Plan B עיכוב: במקרה עיכוב טיסה — המתנה באזור מנוחה/לאונג' בטרמינל וארגון מחדש של לוח הזמנים.

🔍 לסינון: תחבורה",הגעה לשדה כ-3 שעות לפני ההמראה לרישום ובידוק.,ישראל > טוקיו,20:00 (הגעה לשדה),16 שעות טיסה,,2250.22 ₪,✅ כבר הוזמן ושולם (חלק מעלות כוללת של 1503.77$),https://www.emirates.com/,-,https://www.google.com/maps/search/?api=1&query=Ben+Gurion+Airport+Terminal+3,,"⚠️ כבודה: 30 ק""ג מזוודה ו-7 ק""ג טרולי.",✓ דרכון | ✓ כרטיסי טיסה מודפסים | ✓ ביטוח נסיעות | ✓ Power Bank וכבל



🛬,01 (שלישי),13/10/2026,Haneda Airport Terminal 3,לוגיסטיקה | שדה תעופה,⭐⭐⭐⭐⭐ חובה,"2 Chome-6-5 Hanedakuko, Ota City, Tokyo 144-0041, Japan",הכל (מקורה),"נחיתה ביפן (22:20). [רמת עומס: 🟢 קל]

• איסוף מזוודות, ביקורת דרכונים ומכס. ✅ טופס Visit Japan Web מולא בהצלחה! הברקוד מוכן להצגה כאן: 

https://drive.proton.me/urls/VX9QKPTZSW#DZ02dsMRnqcf

💡 Plan B עייפות/עיכוב:
אם הטיסה מתעכבת משמעותית, דלג על חנות הנוחות וסע ישירות למרחצאות.

🍽️ פתרון תזונה: ארוחה כשרה מוזמנת מראש בטיסה + חטיפים כשרים מהארץ.

🥤 שילוב חלבון: חטיף/שייק חלבון זמין בתיק — לצריכה לפי הצורך.

🔍 לסינון: תחבורה / לוגיסטיקה","הליכה רגלית בתוך הטרמינל לאחר הנחיתה. עקוב אחר השילוט לקומת הקרקע.

[הנחיית רכבת: רכישת כרטיס Welcome Suica פיזי במכונות בשדה]",טוקיו - הגעה,22:20 (נחיתה),שעה וחצי,,0 ₪,✅ טופס מולא מראש והברקוד מוכן.,https://vjw-lp.digital.go.jp/en/,הגעה ליפן (0 דקות),https://www.google.com/maps/search/?api=1&query=Haneda+Airport+Terminal+3,,⚠️ לוקרים | ⚠️ שירותים | ⚠️ דורש אינטרנט,✓ דרכון בהישג יד | ✓ ברקוד Visit Japan Web מוכן בטלפון | ✓ כרטיס אשראי

🍽️,01 (שלישי),13/10/2026,Seven Eleven Haneda Airport,קניות | חנות נוחות,⭐⭐⭐ אם יש זמן,"2 Chome-6-5 Hanedakuko, Ota City, Tokyo 144-0041, Japan",הכל (מקורה),"חנות נוחות: משיכת כסף והצטיידות ראשונית.

• השתמש בכספומט 7-Bank למשיכת ינים ראשונית בעמלה אפסית.

🍽️ פתרון תזונה יומי: קניית אוכל, מים ופריטים קלים בחנות.

🍫 שילוב חלבון: חטיף חלבון שהבאת בתיק בזמן ההמתנה לשאטל.

[רמת עומס: 🟢 קל]

💡 Plan B: אם סגור — קומביני חלופי סמוך (רובם פתוחים 24/7).

🔍 לסינון: קניות / חנות נוחות / אוכל","אולם מקבלי הפנים בקומה 2.

[הנחיית תחבורה: תשלום במזומן או באשראי בחנות].",טוקיו - הגעה,23:50 - 00:30,40 דקות,,"כניסה: 0₪ | קניות (אופציונלי): כ-35 ₪ (~1,900 ¥)",🚶‍♂️ אין צורך בהזמנה מראש: פתוח 24/7 תשלום במקום.,https://www.sevenbank.co.jp/english/,≈ 5 דקות הליכה פנימית,https://www.google.com/maps/dir/?api=1&origin=Haneda+Airport+Terminal+3&destination=Seven Eleven+Haneda+Airport,,⚠️ לוקרים | ⚠️ שירותים,✓ דרכון (למשיכת כספים) | ✓ רשימת קניות קטנה | ✓ Power Bank וכבל


