קטגוריה,עדיפות,פריט,תיאור
חובה להביא מהארץ,1 - קריטי,דרכון וכל הכייס (כולל דרכון פיזי),"חובה להחזיק עליך תמיד! לביקורת דרכונים, פטור ממס (Tax-Free), זיהוי בקרטינג, וקבלת מזוודות."
חובה להביא מהארץ,1 - קריטי,"רישיון נהיגה מפלסטיק + בינלאומי (ממס""י)","חובה מוחלטת לקרטינג בטוקיו (Street Kart)! בלעדיו לא יתנו לך לעלות על המסלול."
חובה להביא מהארץ,1 - קריטי,ארנק עם כרטיסי אשראי (ויזה/אמקס) וינים במזומן,"תשלומים שוטפים. ויזה נפוץ, אמקס לגיבוי. מזומן חובה למקומות ללא אשראי (מקדשים, לוקרים, אונסן)."
חובה להביא מהארץ,1 - קריטי,פלאפון + סוללה ניידת (Power Bank),"חובה עליך תמיד לניווט, הצגת כרטיסים, צילום, ותשלומים (ללא סוללות בשילוח מזוודות!)."
חובה להביא מהארץ,1 - קריטי,ביטוח נסיעות מודפס וצילומי מסמכים,עותק פיזי של ביטוח הנסיעות וצילומי הדרכון לגיבוי למקרה אובדן.
חובה להביא מהארץ,1 - קריטי,קוד QR של Visit Japan Web,שמור כצילום מסך מראש לזירוז המכס וההגירה.
חובה להביא מהארץ,1 - קריטי,3 מכשירי מעקב (SmartTags/AirTags),"אחד לתיק גב, אחד לדרכון/כסף, ואחד חובה למזוודה הגדולה שנשלחת בשירות Ta-Q-Bin."
חובה להביא מהארץ,1 - קריטי,כרטיסים דיגיטליים/מודפסים לאטרקציות,"teamLab (כל ה-4), תצפיות (Shibuya, RED, Roppongi, Abeno), טירת Nijo, סמוראים, שייט, IMAX, SIDAS ואונסן."
חובה להביא מהארץ,1 - קריטי,קוד וכרטיס להופעה של LiSA,להדפסת הכרטיס הפיזי בחנות הנוחות באוסקה והצגתו בכניסה למופע.
חובה להביא מהארץ,1 - קריטי,אפליקציית SmartEX / כרטיסי נסיעה,"חובה לשינקנסן (QR), אוטובוס לילה WILLER, ורכבת Skyliner לשדה התעופה."
חובה להביא מהארץ,1 - קריטי,מטען קיר מרובה יציאות + כבלי טעינה טייפ סי,"לטעינת הפלאפונים, הסוללות הניידות והשעון בלילה בו-זמנית."
חובה להביא מהארץ,1 - קריטי,מטען אוניברסלי / מתאם לשקע יפני,"ביפן השקעים הם Type A (שני פינים שטוחים, 100V). חובה מתאם."
חובה להביא מהארץ,1 - קריטי,תרופות קבועות ומשככי כאבים,ביפן מינוני התרופות נמוכים וקשה לפענח רכיבים. חובה להביא מלאי אישי.
