קטגוריה,עברית,אנגלית,יפנית,הגייה בעברית (עם ניקוד),רומאג'י (הגייה באנגלית),הקשר / סיטואציה
נימוס,שלום,Hello,こんにちは,קוֹנִיצִ'יוַוה,Konnichiwa,ברכה כללית ביום
נימוס,בוקר טוב,Good morning,おはようございます,אוֹהָאיוֹ גּוֹזַיְמָס,Ohayou gozaimasu,ברכה מנומסת בבוקר
נימוס,ערב טוב,Good evening,こんばんは,קוֹמְבַּנְוַוה,Konbanwa,ברכה בערב
נימוס,תודה רבה,Thank you very much,ありがとうございます,אָרִיגָטוֹ גּוֹזַיְמָס,Arigatou gozaimasu,ניסוח מנומס ובטוח
נימוס,בבקשה / אם אפשר,Please,お願いします,אוֹנֶגַאי שִׁימָס,Onegai shimasu,בעת בקשה
נימוס,סליחה / אפשר לשאול,Excuse me,すみません,סוּמִימָסֶן,Sumimasen,פנייה לאדם או התנצלות קלה
נימוס,אני מצטער,I am sorry,ごめんなさい,גּוֹמֶן נָסַאי,Gomen nasai,התנצלות
נימוס,כן,Yes,はい,הַאי,Hai,תשובה חיובית
נימוס,לא,No,いいえ,אִיאֶה,Iie,תשובה שלילית
נימוס,אני מבין,I understand,わかりました,וָואקָרִימָשִׁיטָה,Wakarimashita,אישור הבנה
נימוס,אני לא מבין,I don't understand,わかりません,וָואקָרִימָסֶן,Wakarimasen,בקשת הבהרה
נימוס,אפשר לדבר לאט יותר?,Could you speak more slowly?,もう少しゆっくり話していただけますか,מוֹ סוּקוֹשִׁי יוּקּוּרִי הָנָאשִׁיטֶה אִיטָאדָאקֶמָס קָה?,Mou sukoshi yukkuri hanashite itadakemasu ka,בקשה מנומסת
נימוס,אפשר לומר שוב?,Could you say that again?,もう一度お願いします,מוֹ אִיצִ'ידוֹ אוֹנֶגַאי שִׁימָס,Mou ichido onegai shimasu,חזרה על משפט
נימוס,האם אתה מדבר אנגלית?,Do you speak English?,英語を話せますか,אֵיגוֹ אוֹ הָנָסֶמָס קָה?,Eigo o hanasemasu ka,סיוע בשיחה
נימוס,אני משתמש בתרגום,I am using a translator,翻訳を使います,הוֹנְיָאקוּ אוֹ צּוּקָאִימָס,Honyaku o tsukaimasu,הבהרת תקשורת
כיוונים,איפה זה?,Where is this?,これはどこですか,קוֹרֶה וַוא דּוֹקוֹ דֶּס קָה?,Kore wa doko desu ka,בירור מיקום
כיוונים,איפה התחנה?,Where is the station?,駅はどこですか,אֶקִי וַוא דּוֹקוֹ דֶּס קָה?,Eki wa doko desu ka,תחבורה
כיוונים,איך מגיעים לכאן?,How do I get here?,ここへはどう行けばいいですか,קוֹקוֹ אֶה וַוא דּוֹ אִיקֶבָּה אִיאי דֶּס קָה?,Koko e wa dou ikeba ii desu ka,הצגת כתובת או מפה
כיוונים,ימינה,Right,右,מִיגִי,Migi,כיוון
כיוונים,שמאלה,Left,左,הִידָארִי,Hidari,כיוון
כיוונים,ישר,Straight ahead,まっすぐ,מַאסּוּגוּ,Massugu,כיוון
כיוונים,קרוב,Near,近い,צִ'יקַאי,Chikai,מרחק
כיוונים,רחוק,Far,遠い,טוֹאִי,Tooi,מרחק
כיוונים,כניסה,Entrance,入口,אִירִיגוּצִ'י,Iriguchi,שילוט
כיוונים,יציאה,Exit,出口,דֶּגוּצִ'י,Deguchi,שילוט
כיוונים,שירותים,Restroom / Toilet,トイレ,טוֹאִירֶה,Toire,מתקנים
תחבורה,כרטיס אחד בבקשה,One ticket please,切符を一枚お願いします,קִיפּוּ אוֹ אִיצִ'ימַאי אוֹנֶגַאי שִׁימָס,Kippu o ichimai onegai shimasu,רכבת או אוטובוס
תחבורה,לאיזו רציף?,Which platform?,何番線ですか,נַאנְבַּאנְסֶן דֶּס קָה?,Nanbansen desu ka,רכבת
תחבורה,האם הרכבת הזו נוסעת ל...?,Does this train go to...?,この電車は…に行きますか,קוֹנוֹ דֶּנְשָׁה וַוא ... נִי אִיקִימָס קָה?,Kono densha wa ... ni ikimasu ka,בדיקת כיוון
תחבורה,איפה מחליפים רכבת?,Where do I transfer?,どこで乗り換えますか,דּוֹקוֹ דֶּה נוֹרִיקָאֶמָס קָה?,Doko de norikaemasu ka,קונקשן
תחבורה,מתי הרכבת הבאה?,When is the next train?,次の電車は何時ですか,צּוּגִי נוֹ דֶּנְשָׁה וַוא נַאנְגִ'י דֶּס קָה?,Tsugi no densha wa nanji desu ka,לוחות זמנים
תחבורה,האם אפשר להשתמש בכרטיס IC?,Can I use an IC card?,ICカードは使えますか,אַיְ-סִי קָאדוֹ וַוא צּוּקָאֶמָס קָה?,IC kaado wa tsukaemasu ka,Suica/PASMO
תחבורה,אני רוצה לטעון את הכרטיס,I want to charge my card,チャージしたいです,צָ'אגִ'י שִׁיטַאי דֶּס,Chaaji shitai desu,טעינת IC
תחבורה,הרכבת בוטלה?,Is the train canceled?,電車は運休ですか,דֶּנְשָׁה וַוא אוּנְקְיוּ דֶּס קָה?,Densha wa unkyuu desu ka,שיבוש
תחבורה,הרכבת מאחרת?,Is the train delayed?,電車は遅れていますか,דֶּנְשָׁה וַוא אוֹקוּרֶטֶה אִימָס קָה?,Densha wa okurete imasu ka,שיבוש
תחבורה,איפה תחנת האוטובוס?,Where is the bus stop?,バス停はどこですか,בַּאסוּטֵיי וַוא דּוֹקוֹ דֶּס קָה?,Basutei wa doko desu ka,אוטובוס
תחבורה,בבקשה קח אותי לכתובת הזו,Please take me to this address,この住所までお願いします,קוֹנוֹ ג'וּשׁוֹ מָאדֶה אוֹנֶגַאי שִׁימָס,Kono juusho made onegai shimasu,מונית
תחבורה,כמה זמן זה ייקח?,How long will it take?,どのくらいかかりますか,דּוֹנוֹ קוּרַאי קָקָארִימָס קָה?,Dono kurai kakarimasu ka,זמן נסיעה
תחבורה,כמה זה עולה?,How much does it cost?,いくらかかりますか,אִיקוּרָה קָקָארִימָס קָה?,Ikura kakarimasu ka,עלות נסיעה
תחבורה,יש לי הזמנה,I have a reservation,予約があります,יוֹיָאקוּ גָּה אָרִימָס,Yoyaku ga arimasu,רכבת/שאטל
לינה,יש לי הזמנה על שם...,I have a reservation under the name...,…の名前で予約しています,... נוֹ נָמָאֶה דֶּה יוֹיָאקוּ שִׁיטֶאִימָס,... no namae de yoyaku shiteimasu,צ׳ק-אין
לינה,אני רוצה לעשות צ׳ק-אין,I would like to check in,チェックインをお願いします,צֶ'קּוּ-אִין אוֹ אוֹנֶגַאי שִׁימָס,Chekkuin o onegai shimasu,קבלה
לינה,אני רוצה לעשות צ׳ק-אאוט,I would like to check out,チェックアウトをお願いします,צֶ'קּוּ-אָאוּטוֹ אוֹ אוֹנֶגַאי שִׁימָס,Chekkuauto o onegai shimasu,קבלה
לינה,אפשר להשאיר מזוודות?,Can I leave my luggage here?,荷物を預けられますか,נִימוֹצּוּ אוֹ אָזוּקֶרָארֶמָס קָה?,Nimotsu o azukeraremasu ka,לפני/אחרי לינה
לינה,המזוודה שלי נשלחה לכאן,My luggage was sent here,荷物をこちらに送りました,נִימוֹצּוּ אוֹ קוֹצ'ִירָה נִי אוֹקוּרִימָשִׁיטָה,Nimotsu o kochira ni okurimashita,משלוח מזוודות
לינה,מה סיסמת ה-Wi-Fi?,What is the Wi-Fi password?,Wi-Fiのパスワードは何ですか,וַאי-פַיי נוֹ פָּאסוּוָאדוֹ וַוא נַאן דֶּס קָה?,Waifai no pasuwaado wa nan desu ka,מלון
לינה,החדר לא נקי,The room is not clean,部屋が清掃されていません,הֶיָה גָּה סֵיסוֹ סָרֶטֶאִימָסֶן,Heya ga seisou sareteimasen,בעיה בחדר
לינה,אין מים חמים,There is no hot water,お湯が出ません,אוֹיוּ גָּה דֶּמָסֶן,Oyu ga demasen,בעיה בחדר
לינה,אפשר מגבת נוספת?,Could I get an extra towel?,タオルをもう一枚いただけますか,טָאוֹרוּ אוֹ מוֹ אִיצִ'ימַאי אִיטָאדָאקֶמָס קָה?,Taoru o mou ichimai itadakemasu ka,בקשה
לינה,איבדתי את המפתח,I lost my key,鍵をなくしました,קָאגִי אוֹ נָאקוּשִׁימָשִׁיטָה,Kagi o nakushimashita,סיוע
אוכל,שולחן לאדם אחד בבקשה,A table for one please,一人です,הִיטוֹרִי דֶּס,Hitori desu,מסעדה
אוכל,אפשר לראות תפריט באנגלית?,Can I see an English menu?,英語のメニューはありますか,אֵיגוֹ נוֹ מֶנְיוּ וַוא אָרִימָס קָה?,Eigo no menyuu wa arimasu ka,מסעדה
אוכל,זה חריף?,Is it spicy?,辛いですか,קָרַאי דֶּס קָה?,Karai desu ka,בירור מנה
אוכל,בלי בשר ובלי ציר בשר בבקשה,No meat and no meat broth please,肉と肉のスープ（だし）なしでお願いします,ניקו טו ניקו נו סופו (דאשי) נאשי דה אונגאי שימאס,Niku to niku no suupu (dashi) nashi de onegai shimasu,העדפה תזונתית
אוכל,בלי חזיר בבקשה,No pork please,豚肉なしでお願いします,בּוּטָנִיקוּ נָאשִׁי דֶּה אוֹנֶגַאי שִׁימָס,Butaniku nashi de onegai shimasu,העדפה תזונתית
אוכל,בלי פירות ים ובלי דאשי בבקשה,No seafood and no dashi please,魚介類と和風だしなしでお願いします,גיוקאירוי טו וואפו דאשי נאשי דה אונגאי שימאס,Gyokairui to wafuu dashi nashi de onegai shimasu,העדפה תזונתית
אוכל,אני אלרגי ל...,I am allergic to...,…にアレルギーがあります,... נִי אָרֶרוּגִּי גָּה אָרִימָס,... ni arerugii ga arimasu,אלרגיה רפואית
אוכל,האם יש בזה אלכוהול?,Does this contain alcohol?,アルコールが入っていますか,אָרוּקוֹרוּ גָּה הַאיטֶּאִימָס קָה?,Arukooru ga haitteimasu ka,בירור רכיבים
אוכל,האם יש בזה ג׳לטין?,Does this contain gelatin?,ゼラチンが入っていますか,זֶרָאצִ'ין גָּה הַאיטֶּאִימָס קָה?,Zerachin ga haitteimasu ka,בירור רכיבים
אוכל,מים בבקשה,Water please,お水をお願いします,אוֹמִיזוּ אוֹ אוֹנֶגַאי שִׁימָס,Omizu o onegai shimasu,מסעדה
אוכל,את החשבון בבקשה,The bill please,お会計をお願いします,אוֹקָאיקֵי אוֹ אוֹנֶגַאי שִׁימָס,Okaikei o onegai shimasu,תשלום
אוכל,אפשר לשלם בכרטיס?,Can I pay by credit card?,カードで払えますか,קָאדוֹ דֶּה הָרָאֶמָס קָה?,Kaado de haraemasu ka,תשלום
