אייקון,יום,תאריך,שם המקום,קטגוריות לסינון,עדיפות,מיקום במפה,מזג אוויר אידיאלי,תיאור ומה ניתן לעשות,תחבורה והגעה ליעד,אזור במסלול,טווח שעות מומלץ,זמן מוערך,ימי סגירה / הערות חשובות,עלות משוערת (₪ ו-¥),איך ומתי להזמין,קישור,משך נסיעה מהיעד הקודם,ניווט גוגל מפות (מהיעד הקודם),סיכון,מתקנים ודרישות,מה צריך להכין מראש,פתרון תזונה יומי,שילוב חלבון,רמת עומס מובנית,תזכורת / פעולה נדרשת,Plan B — גשם/סגירה/מלא,Ziploc/T-Shirt Bag — שימוש מומלץ,תקציב קניות אופציונלי (₪),סטטוס QA
🤖,טוקיו (חלופה),14-19/10,Unicorn Gundam Statue (DiverCity),אטרקציה | טכנולוגיה ותרבות פופ,⭐⭐⭐⭐⭐ חובה,"DiverCity Tokyo Plaza, Odaiba, Tokyo",☀️ שמש / ☁️ מעונן,"פסל הגונדאם הענק (Unicorn Gundam) בגובה 19.7 מטרים:
• כל יום ב-17:00 ו-17:30 הרובוט עובר טרנספורמציה למצב Destroy עם אורות וסאונד. מספק מנת טכנולוגיה עתידנית מושלמת באוויר הפתוח (פתוח בשני!). המחליף הטבעי ביותר ל-Panasonic.","אחרי teamLab, סע ברכבת ה-Yurikamome לתחנת Daiba, וצעד קלות למתחם DiverCity.",טוקיו - אודאיבה,17:00 - 18:00,שעה,מופעים ב-17:00 וב-17:30,חינם,**🚶‍♂️ אין צורך להזמין מראש: שטח ציבורי פתוח.**,https://www.unicorn-gundam-statue.jp/en/,≈ 15 דקות (מ-teamLab),https://www.google.com/maps/dir/?api=1&origin=teamLab+Planets+TOKYO+DMM&destination=Unicorn+Gundam+Statue,נמוך,⚠️ שירותים,✓ מצלמה מוכנה מראש לטרנספורמציה | ✓ Power Bank וכבל,מתחם האוכל הענק של DiverCity או פוד קורט סמוך.,חטיף חלבון בזמן הצפייה במופע ההחלפה.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,אפשר לצפות ברובוט גם מתוך קניון DiverCity המקורה.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌳,טוקיו (חלופה),14-19/10,East Gardens of the Imperial Palace,פארק וטבע | גנים היסטוריים,⭐⭐⭐ אם יש זמן,"Chiyoda City, Tokyo",☀️ שמש / ☁️ מעונן,"הגנים המזרחיים של ארמון הקיסר (חילוני):
• הליכה חופשית בין גנים יפניים מרהיבים, בריכות דגי קוי ושרידי חומות.","הליכה קצרה מתחנת Otemachi או Tokyo.
[יציאה מומלצת: Otemachi Station יציאה C10]",טוקיו - מרכז,10:00 - 12:00,שעה וחצי,סגור שני ושישי,חינם,**🚨 שימו לב: סגור קבוע בימי שני ושישי!**,https://sankan.kunaicho.go.jp/english/,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Tokyo+Station&destination=East+Gardens+of+the+Imperial+Palace,נמוך,⚠️ שירותים,✓ משקפי שמש וכובע,חטיפים בתיק או קומביני סמוך.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,דלג ועבור למוזיאון מקורה.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🍃,טוקיו (חלופה),14-19/10,Arisugawa-no-miya Memorial Park,פארק וטבע | פארק מסורתי,⭐⭐⭐ אם יש זמן,"Minato City, Tokyo",☀️ שמש בלבד,"פארק מסורתי, שקט ומוצל באזור מינאטו:
• כולל אגמים קטנים ומפלי מים. מושלם לפעילות של צהרי שבת ללא חילול שבת (קרוב לאומוֹרִי/חב'ד).",הליכה רגלית פשוטה מתחנת Hiroo (קו Hibiya Line).,טוקיו - מינאטו,14:00 - 16:00,שעה,,חינם,**🚶‍♂️ אין צורך להזמין מראש: הפארק פתוח ציבורית.**,https://www.tokyo-park.or.jp/,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Hiroo+Station&destination=Arisugawa-no-miya+Memorial+Park,נמוך,⚠️ שירותים,✓ נעלי הליכה,הבאת אוכל מוכן מראש/חטיפים.,חטיף חלבון בתיק.,🟢 קל,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,מעבר למתחם מקורה באזור רופונגי.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎮,טוקיו (חלופה),14-19/10,Nakano Broadway,קניות | אנימה ותרבות פופ,⭐⭐⭐ אם יש זמן,"Nakano City, Tokyo",הכל (מקורה),"מתחם קניון ענק:
• חלופה שקטה ומקורה לאקיהברה. חנויות טכנולוגיה, מנגה, ורשת Mandarake.","נסיעה בקו JR 🔵 Chuo Line מתחנת Shinjuku לתחנת Nakano.
[יציאה מומלצת: North Exit - ישירות למדרחוב]",טוקיו - מערב,14:00 - 17:00,שלוש שעות,,חינם,**🚶‍♂️ אין צורך להזמין מראש.**,https://www.japan-guide.com/e/e3069.html,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Shinjuku+Station&destination=Nakano+Broadway,נמוך,⚠️ שירותים,✓ פטור ממס (Tax-Free) לדרכון,מסעדות במתחם או קומביני.,חטיף/שייק חלבון בתיק.,🟡 בינוני,אין הזמנה מקדימה נדרשת — ניתן להגיע ספונטנית.,יעד מקורה פנטסטי ליום גשום.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎤,טוקיו (חלופה),14-19/10,Karaoke Kan / Big Echo,אטרקציה | קריוקי וחיי לילה,⭐⭐⭐ אם יש זמן,"Shinjuku, Tokyo",הכל (מקורה),"חדרי קריוקי פרטיים יפניים (Karaoke Box):
• חדר פרטי אטום עם סאונד מטורף (פתוח 24/7).",סניפים של הרשתות נמצאים בכל פינה באזורי שיבויה ושינג'וקו.,טוקיו - בילוי ערב,20:00 - 22:00,שעתיים,,"כ-50 ₪ (~2,700 ¥)",**🚶‍♂️ מגיעים לדלפק הקבלה ומבקשים חדר.**,https://karaokekan.jp/,≈ לפי מיקום עדכני,https://www.google.com/maps/search/?api=1&query=Karaoke+Kan+Shinjuku,נמוך,⚠️ שירותים,✓ גרון בריא,ניתן להזמין אוכל ושתייה ישירות לחדר.,הזמנת אדממה (פולי סויה) מתפריט המקום.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,"אם סניף אחד עמוס, יש סניף נוסף בכל פינה.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🥂,טוקיו (חלופה),14-19/10,LUXE Shinjuku / TANTRA TOKYO,אטרקציה | חיי לילה ובילוי,⭐⭐⭐ אם יש זמן,"Shinjuku / Roppongi, Tokyo",הכל (מקורה),מועדון פרמיום לחוויית חיי לילה ופלרטוט בסגנון יפני. (לגילאי 20+ בלבד).,הליכה מתחנת Shinjuku אל קבוקיצ'ו או לרופונגי.,טוקיו - חיי לילה,21:00 - 23:00,40-90 דקות,לוודא מחירים מראש למניעת הפתעות באזורי הבילוי,"כ-175 ₪ (~7,000 ¥)",**🚶‍♂️ מומלץ לבדוק זמינות או להזמין דרך האתר הרשמי.**,https://www.google.com/search?q=LUXE+Shinjuku,≈ לפי מיקום,https://www.google.com/maps/search/?api=1&query=LUXE+Shinjuku,🚨 אזורי בילוי ליליים - דורש ערנות,⚠️ שירותים,✓ דרכון לגיל | ✓ מזומן,נשנושים ואלכוהול במועדון.,חטיף חלבון לפני היציאה.,🟡 בינוני,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,"אם עמוס, מעבר לבר שקט או איזקאיה.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🖼️,טוקיו (חלופה),14-19/10,Mori Art Museum,מוזיאון | אמנות ותרבות,⭐⭐⭐⭐ מומלץ,"Roppongi, Minato City, Tokyo",הכל (מקורה),"מוזיאון לאמנות מודרנית ובינלאומית הממוקם במגדל מורי, מציג תערוכות מסתובבות מרשימות.",תחנת Roppongi (קו Hibiya או Oedo).,טוקיו - רופונגי,10:00 - 13:00,שעתיים,תערוכות משתנות - כדאי לבדוק מראש מה מוצג,"כ-50 ₪ (~2,000 ¥)",**🚶‍♂️ ניתן לרכוש במקום או אונליין לחסוך תור.**,https://www.mori.art.museum/en/,≈ לפי מיקום,https://www.google.com/maps/search/?api=1&query=Mori+Art+Museum+Tokyo,נמוך,⚠️ שירותים,✓ סקרנות לאמנות מודרנית,מסעדות באזור רופונגי או מהתיק.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,מקורה וחסין גשם.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🎢,פוג'י (חלופה),14-19/10,Fuji-Q Highland,אטרקציה | פארק שעשועים | אקסטרים,⭐⭐⭐⭐⭐ חובה,"Fujiyoshida, Yamanashi",☀️ שמש (ללא רוח!),"פארק רכבות ההרים האקסטרימי:
• שובר שיאי גינס עם נוף ישיר להר פוג'י!",אוטובוס מהיר (Expressway Bus) משינג'וקו ישירות לפארק (שעה וחצי).,הר פוג'י (גיחה מטוקיו),09:00 - 17:00,יום שלם,נסגר ברוח חזקה,"כ-180 ₪ (~9,700 ¥)",**🚨 חובה להזמין מראש ב-Klook כ-1-2 שבועות מראש (כרטיס כניסה + אוטובוס אקספרס משינג'וקו שמתמלא).**,https://www.klook.com/,≈ שעה וחצי משינג'וקו,https://www.google.com/maps/dir/?api=1&origin=Shinjuku+Station&destination=Fuji-Q+Highland,🚨 רוח חזקה ⭐⭐⭐⭐⭐,⚠️ שירותים,✓ בגדים מתאימים וכיסים סגורים היטב | ✓ קרם הגנה,דוכני מזון בפארק או הבאת בנטו.,חטיפי חלבון להחזרת אנרגיה בין המתקנים.,🔴 גבוה,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה. ⚠️ לאמת ימי סגירה ושעות פתיחה סמוך למועד הביקור.,במזג אוויר סוער האקסטרים נסגר - חובה לבדוק תחזית!,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🌸,פוג'י (חלופה),14-19/10,Oishi Park (Kawaguchiko),פארק וטבע | נוף טבעי | תצפית,⭐⭐⭐ אם יש זמן,"Fujikawaguchiko, Yamanashi",☀️ שמש (ראות פוג'י),"פארק פרחים (Oishi Park):
• ממוקם על שפת אגם קוואגוצ'יקו ומציע נוף ישיר מושלם להר פוג'י (חילוני ללא מקדשים).","אוטובוס מהיר משינג'וקו ל-Kawaguchiko, והחלפה לאוטובוס אדום (Red Line) לפארק.",הר פוג'י (גיחה),10:00 - 13:00,חצי יום,,חינם,**🚨 חובה להזמין מראש כרטיסי אוטובוס בינארוני.**,https://www.japan-guide.com/e/e6906.html,≈ שעה ו-40 דקות משינג'וקו,https://www.google.com/maps/dir/?api=1&origin=Kawaguchiko+Station&destination=Oishi+Park,נמוך,⚠️ שירותים,✓ מצלמה,להביא אוכל/חטיפים מהעיר.,חטיף חלבון בתיק.,🟢 קל,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,"אם ההר מכוסה עננים, מומלץ לוותר ולעבור לקניות.",לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; מתקנים: הונח 'שירותים'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
🛍️,האקונה (חלופה),20-21/10,Gotemba Premium Outlets,קניות | אאוטלט ואופנה,⭐⭐⭐ אם יש זמן,"Gotemba, Shizuoka",☀️ שמש / ☁️ מעונן,"מתחם האאוטלט הגדול ביפן:
• מותגים בינלאומיים וגאדג'טים עם נוף להר פוג'י.","אוטובוס חינמי מתחנת Gotemba, או קווי אוטובוס ישירים מאזור אגם אשי.",האקונה / פוג'י,10:00 - 15:00,4 שעות,,"כ-370 ₪ (~20,000 ¥)",**🚶‍♂️ הצג דרכון זר בדלפק המידע לפטור ממס.**,https://www.premiumoutlets.co.jp/en/gotemba/,≈ לפי מיקום עדכני,https://www.google.com/maps/dir/?api=1&origin=Togendai+Station&destination=Gotemba+Premium+Outlets,נמוך,⚠️ שירותים,✓ דרכון פיזי (לפטור ממס) | ✓ כרטיס אשראי,פוד-קורט ענק במתחם.,חטיף חלבון בתיק.,🟡 בינוני,⚠️ לוודא הזמנת כרטיס/סלוט מראש לפני היציאה.,מתחם פתוח בחלקו עם קירויים. הצטייד במטריה.,לא נדרש במיוחד; מומלץ לשמור 1–2 שקיות ריקות בתיק לגיבוי ולאיסוף אשפה (אין פחים ציבוריים ביפן).,0,אוחד לפורמט אחיד: הכפילויות בין התיאור למשבצות הוסרו והמידע רוכז במשבצות הייעודיות. הנחות/השלמות: תזכורת/פעולה נדרשת חושבה מחדש (הוסרה כפילות עם 'מה צריך להכין מראש'); Ziploc: מולא ערך ברירת מחדל; סיכון: הונח 'נמוך'; תקציב קניות: 0 כברירת מחדל (יעד אופציונלי).
